id,grade,subject,question,model_answer,keywords,max_score,source
481,10,Physics,Describe how Principles of C works.,P Q Figure 9.11  Two inclined forces acting on an object 164 For free distribution 165 For free distribution Two forces P and Q that act with their lines of action inclined to one another,inclined;forces;object 164 free;object 164;inclined forces acting;inclined one another;11 two;figure 11 two;11 two inclined;forces act lines;act lines;inclined one,10.0,augmented
482,10,Chemistry,Describe the chemical process involved in Key concepts of Miscellaneous exercises.,"4 When an object is held by a Newton balance, the reading was 80 N. If another object of mass 500 g was attached to the Newton balance, what would be the resultant force in Newtons? 5 If a trolley is being pulled by two forces, one with a magnitude of 20 N along the East and the other with a magnitude of 15 N along the West, in which direction would it move? What is the resultant? 166 For free distribution 167 For free distribution",newton balance;resultant;magnitude;newton;balance;would;along;object;magnitude 20 along;force newtons trolley;would resultant force;would resultant,10.0,augmented
483,10,Chemistry,Describe the chemical process involved in Key concepts of Chemistry Chemical Bonds.,"The attractive forces or binding among the atoms or ions resulted by the rearrangement of electrons in the valence shell for stabilizing the atoms of elements as described above are called chemical bonds. According to the way the participating atoms behave when they chemically bind together, the chemical bonds can be divided into two types. 1. Ionic bonds 2. Covalent bonds 10.1 Ionic Bonds The electronic configuration of the sodium atom is 2, 8, 1. Sodium is an element with low electronegativity. As the number of protons in a sodium atom is equal to the number of electrons, an atom of sodium is electrically neutral Fig.",bonds;sodium;chemical bonds;atom sodium;ionic bonds;atoms;atom;sodium atom;ionic;electrons;chemical;number,10.0,augmented
484,10,Chemistry,Describe the chemical process involved in Chemistry Chemical Bonds.,"The outermost shell carrying electrons in an atom of an element is known as its valence shell.The valence shell of the atoms of neon and argon has eight electrons each. This electronic structure has been identified as a stable electronic configuration. Because of this stable configuration their reactivity is very low, so they are referred to as noble gases. But, the state of sodium and chlorine atoms is different. In order to have the stable noble gas configuration, a sodium atom has to either lose the electron in the last shell or gain seven electrons. Similarly a chlorine atom can attain the stable electronic configuration by receiving a single electron or by removing seven electrons. In the atoms of these element, electrons in the valence shell reorganise to acquire the stable electronic configuration. That means, loss, gain or sharing of electrons occurs. The attractive forces or binding among the atoms or ions resulted by the rearrangement of electrons in the valence shell for stabilizing the atoms of elements as described above are called chemical bonds. According to the way the participating atoms behave when they chemically bind together, the chemical bonds can be divided into two types. 1. Ionic bonds 2. Covalent bonds 10.1 Ionic Bonds The electronic configuration of the sodium atom is 2, 8, 1. Sodium is an element with low electronegativity. As the number of protons in a sodium atom is equal to the number of electrons, an atom of sodium is electrically neutral Fig.",shell;electrons;stable;configuration;bonds;valence shell;atoms;valence;electronic;atom;sodium;stable electronic configuration,10.0,augmented_variant
485,10,Chemistry,Describe the chemical process involved in Fluorine atom Fluorine atom Fluorine molecue.,Fig.10.8 Formation of a fluorine molecule b. Hydrogen molecule A hydrogen atom has one electron. Two hydrogen atoms share their electrons between them each acquiring the stable configuration of helium. This gives rise to the hydrogen molecule H  in which the two hydrogen atoms are joined by a 2 covalent bond Fig. 10.9.,hydrogen;hydrogen molecule;molecule;two hydrogen atoms;molecule hydrogen;two hydrogen;hydrogen atoms;fig 10;fig;atoms;gives rise hydrogen;configuration helium,10.0,augmented_variant
486,10,Chemistry,Describe the chemical process involved in Oxygen atom A pair of hydrogen atoms Water molecue.,"Fig. 10.10 Formation of a water molecule d. Ammonia molecule The electronic configuration of the nitrogen atom is 2, 5. Three hydrogen atoms share three pairs of electrons with a nitrogen atom. This leads to the formation of an ammonia NH  molecule which has three single bonds Fig.10.11. 3",molecule;nitrogen atom;three;ammonia;fig 10;10;formation;nitrogen;fig;atom;formation water molecule;electrons nitrogen,10.0,augmented_variant
488,10,Chemistry,Describe the chemical process involved in Key concepts of Intermolecular bonds.,"y High boiling point y High specific heat capacity y Having a higher density than that of ice 10.5 Properties of Ionic and Covalent Compounds Activity 3 Examining the electrical conductivity of the solutions of ionic and covalent compounds Requirement: Four beakers, two carbon rods, two bulbs, two batteries Six dry cells, conducting wires, a salt solution common salt, sugar solution, copper sulphate solution, distilled water For free distribution 182 1 8 3 For free distribution",ionic covalent compounds;ionic covalent;covalent compounds;solution;ionic;covalent;salt;two;high;compounds;rods;carbon rods,10.0,augmented
489,10,Chemistry,Explain point 2 regarding Characteristics of Covalent Compounds.,Generally the melting points and boiling points of covalent compound are low However the lattice compounds have high melting points and boiling points.,points;melting points;melting points boiling;points boiling points;points boiling;melting;boiling points;boiling;points covalent compound;however lattice compounds;however lattice;lattice compounds high,5.0,augmented_point
490,10,Chemistry,Explain point 3 regarding Exercises.,Draw the dot and cross diagrams of the following molecules. a Chlorine b Oxygen c Water d Methane e Ammonia,following molecules chlorine;following molecules;draw dot cross;draw dot;diagrams following molecules;diagrams following;cross diagrams following;draw;dot cross diagrams;cross diagrams;diagrams;dot cross,5.0,augmented_point
491,10,Physics,State and explain the principles of Key concepts of A.,"This means that it is easier to open the door when the applied force is further away from the rotation axis, while it is more Figure 11.2  Axis of difficult to open when the applied force is closer to the rotation of the door rotation axis. It is clear from the above activity that the force required to rotate an object around an axis depends on the perpendicular distance to the force from the axis. The product of the force and the perpendicular distance to the line of action of the force from the axis of rotation is known as the moment of the force around the axis. 190 For free distribution 191 For free distribution In order to subject a body to a motion in a straight line, a force is required.",axis;force;rotation;force axis;around axis;rotation axis;applied force;door;force required;open;perpendicular distance;around,10.0,augmented
494,10,Chemistry,Describe the chemical process involved in Key concepts of Stage Force.,"Consider two forces F and F exerted on a stick clamped at the point O as shown 1 2 in the figure 11.6 clockwise moment  F  d 1 1 anti - clockwise moment  F  d 2 2 When the two forces are applied in the same time, the resultant moment  F  d - F  d 1 1 2 2 Here, clockwise moment is considered as positive. If the opposite moments are equal, that is F  d  F  d  the object will not 1 1 2 2 rotate, and it will be in equilibrium. 194 For free distribution 195 For free distribution Example 1 As shown in the following figure a uniform rod AB of length 1 m is suspended and balanced at its center. i If a weight of 4 N is now suspended from B, find the initial clockwise moment.",clockwise moment;clockwise;moment;suspended;two forces;forces;moment anti;clockwise moment considered;length suspended;stick clamped point;stick clamped;opposite moments equal,10.0,augmented
495,10,Chemistry,Describe the chemical process involved in Key concepts of X.,"Therefore, a couple of forces does not cause a linear displacement in an object. However, the object rotates around a point between the two forces. The moment of a force couple is defined as the product between the magnitude of one force and the perpendicular distance between the lines of actions of the two forces. 196 For free distribution 197 For free distribution Moment of a couple of forces  force  perpendicular distance between N the lines of action of the two forces m The unit of the moment of a couple of forces is N m. M ome nt of a c ouple of forces  F x d Where F  force d  perpendicular distance between the lines of action of the two forces If we want to rotate an object by a single force as done by attaching one Newton balance to the point A and pulling the obj",forces;couple;distance lines;perpendicular distance lines;couple forces;force perpendicular distance;force perpendicular;two forces;force;perpendicular distance;lines;moment,10.0,augmented
496,10,Physics,State and explain the principles of Summary.,"What is meant by the moment of a force is the tendency of an object to rotate as a result of a force acting on it.  The moment of a force is given by the product between the force and the perpendicular distance to the line of action of the force from a selected axis. That is, Moment due to a force  force x perpendicular distance to the line of action of the force from a selected axis.  A couple of forces is a pair of two equal forces that are parallel to one another and acting in opposite directions on an object so as to turn or rotate it.  A couple of forces can rotate an object without causing a linear motion in the object.",force;moment;rotate;object;distance line action;perpendicular distance line;distance line;action force;line action force;couple forces;selected;couple,10.0,augmented_variant
497,10,Chemistry,Describe the chemical process involved in Key concepts of Gravitational Force.,"Here we will consider instances where objects remain in equilibrium under two or three forces. 12.2 Equilibrium of a body under two forces We learnt about the effective force or the resultant force of two collinear forces forces acting along the same line acting on a point, in the lesson on resultant force. In that lesson, you have learnt that, while a certain force is acting on an object, if it is pulled by another force in the opposite direction, the magnitude of the resultant force decreases. When an object is said to be in equilibrium, what is meant is that the resultant force of the two forces acting on the object is zero. Now let us investig",force;resultant force;acting;resultant;forces;equilibrium;resultant force two;force two;acting object;learnt;two;forces acting,10.0,augmented
498,10,Chemistry,Describe the chemical process involved in Key concepts of A rod resting on two.,"Next, suspend it at the two ends with the aid of the rubber bands and balances as shown in Figure 12.10 and keep the meter ruler in equilibrium in a horizontal position. Take measurements of the two spring balances. The system is now in equilibrium under the action of three parallel, coplanar forces. Investigate the relationship between the measurements of the two spring balances and the weight of the meter ruler. You will notice that the sum of the two readings of the balances is equal to the weight of the meter ruler. That is, the sum of the two forces exerted on the meter ruler by the two balances is equal to the weight of the meter ruler. See whether it is possible to push the mete",meter ruler;meter;ruler;balances;weight meter ruler;weight meter;two;weight;balances equal weight;two spring balances;two spring;equal weight,10.0,augmented
499,11,Chemistry,Describe the chemical process involved in Foreword.,"The educational objectives of the contemporary world are becoming more complex along with the economic, social, cultural and technological development. The learning and teaching process too is changing in relation to human experiences, technological differences, research and new indices.Therefore, it is required to produce the textbook by including subject related information according to the objectives in the syllabus in order to maintain the teaching process by organizing learning experiences that suit to the learner needs. The textbook is not merely a learning tool for the learner. It is a blessing that contributes to obtain a higher education along with a development of conduct and attitudes, to develop values and to obtain learning experiences. The government in its realization of the concept of free education has offered you all the textbooks from grades 1-11. I would like to remind you that you should make the maximum use of these textbooks and protect them well. I sincerely hope that this textbook would assist you to obtain the expertise to become a virtuous citizen with a complete personality who would be a valuable asset to the country. I would like to bestow my sincere thanks on the members of the editorial and writer boards as well as on the staff of the Educational Publications Department who have strived to offer this textbook to you. W. M. Jayantha Wickramanayaka, Commissioner General of Educational Publications, Educational Publications Department, Isurupaya,",textbook;educational;learning;experiences;educational publications;publications;would;obtain;learner;learning experiences;teaching process;would like,10.0,augmented_variant
500,11,Biology,Describe the role of Key concepts of Exercise in living organisms.,"Posseses intercalated discs 3. Multinucleate 4. Long, cylindrical cells 2 State two differences between meristematic and permanent tissues. 3 Name the tissue types given below a b c For free distribution 18",two differences;meristematic permanent;meristematic permanent tissues;permanent tissues;permanent;meristematic;name;differences;long;types;tissue;state,10.0,augmented
501,11,Chemistry,Describe the chemical process involved in Key concepts of Mixtures.,"Activity 3.1.1 Materials required: - Hydrated copper sulphate, naphthalene moth balls, mortar and pestle Method: - Take some copper sulphate and naphthalene moth balls into a mortar, grind them together with the pestle into a powder and mix well. Transfer the powder onto a piece of paper and observe. At a glance, you may not be able to see two substances, copper sulphate and naphthalene but, you have a mixture of the two. A blend of two or more pure substances is called a mixture and individual substances that form the mixture are known as components. Activity 3.1.2 Materials required :- Two beakers, a glass rod, a funnel, a filter",sulphate naphthalene;copper sulphate naphthalene;naphthalene;copper sulphate;copper;substances;sulphate;sulphate naphthalene moth;naphthalene moth;moth balls mortar;moth balls;pestle,10.0,augmented
502,11,Chemistry,Describe the chemical process involved in Mixtures.,"03 3.1 Types of mixtures Let us pay our attention to the composition of the air around us. Air is composed of gases like nitrogen, oxygen, argon, carbon dioxide, water vapour, and very small particles such as dust. So, you may understand that air is a mixture of several substances. Therefore, if some matter contains two or more substances, such matter is referred to as mixtures. You have already learnt that elements and compounds are pure substances. But, mixtures are not pure substances. Natural environment mostly contains mixtures, not pure substances. Air, soil, sea water, river water and rocks around us are examples. The things that we drink such as cool drinks, fruit drinks, tea, coffee and food items such as ice cream, yoghurt and fruit salad are also mixtures. Let us do the following activity to study more about the components of a mixture. Activity 3.1.1 Materials required: - Hydrated copper sulphate, naphthalene moth balls, mortar and pestle Method: - Take some copper sulphate and naphthalene moth balls into a mortar, grind them together with the pestle into a powder and mix well. Transfer the powder onto a piece of paper and observe. At a glance, you may not be able to see two substances, copper sulphate and naphthalene but, you have a mixture of the two. A blend of two or more pure substances is called a mixture and individual substances that form the mixture are known as components. Activity 3.1.2 Materials required :- Two beakers, a glass rod, a funnel, a filter",substances;pure substances;mixtures;pure;copper sulphate naphthalene;sulphate naphthalene;mixture;naphthalene;air;copper sulphate;us;copper,10.0,augmented_variant
505,11,Chemistry,Describe the chemical process involved in Key concepts of Solute and solvent of a solution.,"Activity 3.1.6 Materials required :- A beaker, salt, a glass rod Method :- Measure 100 ml of water into a clean beaker. Weigh 100 g of pure salt NaCl. Add salt, little at a time into the beaker of water and stir with the glass rod to dissolve it. Do not add more salt until the salt added before dissolves completely. When no more salt dissolves, stop adding more salt and weigh the remaining amount of salt. Approximately, what is the maximum mass of salt that can be dissolved in 100 ml of water? 35 For free distribution",salt;beaker;100 ml;100 ml water;weigh;add salt;100;ml water;ml;dissolves;glass rod;add,10.0,augmented
506,11,Chemistry,Describe the chemical process involved in Key concepts of Pressurised CO gas.,"Therefore, the composition of these two solutions is different. When preparing mixtures of weedicides and insecticides, they must be prepared in correct composition. Prescribed composition should be used when preparing solutions using pharmaceuticals. Laboratory work often involve the preparation of solutions of fixed composition. Therefore, understanding about the composition of mixtures is very important in everyday life as well as in laboratory experiments. There are several ways to express the composition of a mixture. Some of those are discussed in the following sections. For free distribution 40",composition;solutions;preparing;laboratory;mixtures;must prepared;well laboratory experiments;different preparing mixtures;well laboratory;sections free distribution;sections free;sections,10.0,augmented
507,11,Chemistry,Describe the chemical process involved in Key concepts of Volume of solution.,Amount of moles of sodium hydroxide in 2 dm3 of the solution  4 mol 4 mol x 1 dm3 Amount of moles of sodium hydroxide in 1 dm3 of the solution  2 dm3  2 mol 45 For free distribution,dm3;mol;hydroxide dm3;moles sodium hydroxide;sodium hydroxide dm3;hydroxide dm3 solution;moles sodium;dm3 solution;amount moles sodium;amount moles;moles;sodium hydroxide,10.0,augmented
508,11,Chemistry,Describe the chemical process involved in Volume of solution.,"5 g 1dm3  5 g dm-3 3.2.5 Expressing composition of a mixture in terms of amount of moles  volume nv This is used to express the composition of a homogeneous mixture solution. 'Mole' is the international unit for the amount of matter. Here, the composition is given in terms of the amount of moles of solute contained in unit volume of a solution. The composition expressed in this way is called the concentration C. In chemistry, very often concentration of a solution is expressed in terms of the amount of moles of solute contained in a cubic decimetre of the solution. Worked examples :- 1 2 dm3 of a solution contains 4 moles of sodium hydroxide NaOH. Find the sodium hydroxide concentration of this solution. Amount of moles of sodium hydroxide in 2 dm3 of the solution  4 mol 4 mol x 1 dm3 Amount of moles of sodium hydroxide in 1 dm3 of the solution  2 dm3  2 mol 45 For free distribution",moles;dm3;amount moles;solution;amount;terms amount moles;terms amount;sodium hydroxide;moles sodium hydroxide;moles sodium;dm3 solution;hydroxide,10.0,augmented_variant
509,11,Chemistry,Explain point 4 regarding Mixtures Chemistry.,Divide the class into four groups and prepare the four solutions given below using the correct method. a 250 cm3 of 1 mol dm-3 sodium chloride NaCl b 100 cm3 of 1 mol dm-3 glucose C H O  6 12 6 c 500 cm3 of 1 mol dm-3 urea CONH   2 2 d 250 cm3 of 1 mol dm-3 copper sulphate CuSO  4,cm3 mol;cm3 mol dm;mol dm;dm;cm3;mol;250 cm3 mol;250 cm3;250;four;given using correct;dm urea conh,5.0,augmented_point
511,11,Biology,Describe the role of Key concepts of Mixtures Chemistry in living organisms.,"Water is added to the coconut scraped by a coconut scraper, and then crushed and squeezed by hand. Parts of the white liming remain suspended in water without going into the solution. When the stuff is put into a milk-strainer the milky solution filters off leaving the pieces of solid coconut in the strainer. Filtration can be used to separate from a mixture, the components that remain suspended in a liquid without going into the solution. A filter is required to filter a mixture. Milk-strainer is such a device. The filter paper used in laboratories is another such filter. Water purifying plants have sand filters. A filter has small holes. Particles smaller than the holes can pas",filter;strainer;coconut;without going;milk strainer;filters;going solution;without going solution;remain suspended;going;solution;suspended,10.0,augmented
512,11,Biology,Describe the role of Key concepts of Carbon tetrachloride in living organisms.,"The medicinal components in some plants are found only in trace amounts. Medicinal solutions of higher concentration are prepared using solvent such as ethanol. Solvents extraction is used in the production of medicinal extracts and potions. 3.3.7 Simple distillation, fractional distillation and steam distillation The separation of components by boiling a solution or a mixture and condensing the vapour is called distillation. So, there must be a mechanism to cool the distillate or the vapour that evolves when a given mixture is heated. The Liebig condenser in the school laboratory is an 57 For free distribution",distillation;medicinal;vapour;components;mixture;mechanism cool distillate;mixture condensing vapour;distillation separation;distillation must mechanism;mixture condensing;distillation must;distillation fractional distillation,10.0,augmented
513,11,Chemistry,Describe the chemical process involved in Key concepts of Vapour in liquid out.,"Boiling points of salts are higher than that of water. Therefore, when the sample of well water is heated and vaporized, only the water vaporizes. Salts can be seen deposited at the bottom of the container. For this kind of distillation, special control of conditions is not essential. Hence, this is known as simple distillation. For this use of simple equipment such as the liebig condenser is adequate. The figure illustrates the apartments set up to obtain distilled water from a sample of well water. Some countries use this method to obtain potabl",sample well water;sample well;sample;water;well water;distillation;obtain;simple;salts;use;well;countries,10.0,augmented
514,11,Chemistry,Describe the chemical process involved in Key concepts of Distilled water.,"Therefore, the vapour formed is richer in component B. When this vapour is collected and condensed at a temperature closer to 40 0C, the resulting liquid contains more B. A is present in smaller amount. When more of B gets removed from the mixture like this, its percentage of A increases. Then, the temperature at which the mixture boils also increases. This way, the components can be separated by collecting the vapours at different temperatures and condensing them. Separation of several components by distillation under controlled cooling conditions like this, is known as fractional distillati",vapour;components;temperature;increases;like;mixture;several components;boils;collecting;collected;resulting;closer,10.0,augmented
515,11,Biology,Describe the role of Key concepts of Extra in living organisms.,"Even when water is replaced by compounds such as acetone, ether and ethyl alcohol, a flow of liquid which flows up from the bottom to top can be seen. The strip of paper is called the stationary phase while the solvent that is soaked into it is called the mobile phase. When a small portion of the mixture whose components need to be separated is placed on this paper, the components in the mixture dissolve in the solvent and move up with the solvent front. This upward movement depends on the forces of attraction of the components of the mixture, to the stationary phase. For example, if one component in the mixture is strongly attracted to the stationary phase",phase;stationary phase;stationary;mixture;solvent;components;components mixture;paper;strip paper;example one;even water replaced;top seen strip,10.0,augmented
516,11,Biology,Describe the role of Extra in living organisms.,"knowledge Essential oils have many uses.  Used as flavours and condiments in food  Used to produce perfumes  Used as ingredients in toothpaste  Used to produce pharmaceuticals Assignment 3.3.4 Prepare a list of plants used to produce essential oils in Sri Lanka. Find out which parts of these plants contain more of those essential compounds. 3.3.8 Chromatography Chromatography is used to separate and identify the components present in a mixture solid or liquid containing non-volatile components. There are many different types of chromatography. The method carried out using paper cellulose is known as paper chromatography. Add a little amount of water to a petri dish and dip one end of a dry strip of a filter paper in it. It can be observed that a stream of water particles is soaked up the strip of paper from bottom to top. Even when water is replaced by compounds such as acetone, ether and ethyl alcohol, a flow of liquid which flows up from the bottom to top can be seen. The strip of paper is called the stationary phase while the solvent that is soaked into it is called the mobile phase. When a small portion of the mixture whose components need to be separated is placed on this paper, the components in the mixture dissolve in the solvent and move up with the solvent front. This upward movement depends on the forces of attraction of the components of the mixture, to the stationary phase. For example, if one component in the mixture is strongly attracted to the stationary phase",paper;phase;components;stationary phase;used;mixture;used produce;stationary;strip;solvent;strip paper;soaked,10.0,augmented_variant
517,11,Biology,Describe the role of Mixtures Chemistry in living organisms.,"Dissolving of a solute in a solvent depends on temperature, polar characteristics related to the molecular properties of the solute and solvent as well as organic or inorganic nature.  The solubility of a gas in water depends on the pressure of that gas over water and temperature.  Different notations are used to indicate the composition of a mixture. Mass fraction mm, volume fraction VV, mole fraction, mass-volume ratio mV and mole-volume ration nV are some of them.  Among the different notations used, mole-volume ratio nV is also known as the concentration. It has the units of mol dm-3 moles per cubic decimetre  Solutes of known composition need to be prepared for various tasks in day to day life. For this, various apparati are used in the laboratory.  The components of mixtures are separated in everyday life as well as in industry. Various methods are used for it.  During sifting, flatting and winnowing, components are separated by using the difference in density of the components. Sieving and filtration are carried out making use of the difference in size of the component particles.  Components can be separated by vaporization due to the difference in their boiling points.  The concentration of a solution is used in crystallization and recrystallization where the concentration is made to exceed the saturated concentration.  Some substances have a higher solubility in one solvent and lower solubility in another.  In solvent extraction, a solute dissolved in smaller quanti",concentration;solvent;solubility;components;volume;used;fraction;solute;difference;mole;separated;nv,10.0,augmented_variant
518,11,Chemistry,Explain point 1 regarding Exercises.,Explain the meaning of the following terms. a. Mixture b. Homogeneous mixture c. Solvent d. Solute f. Solution g. Solubility,mixture;following terms mixture;following terms;explain meaning following;explain meaning;homogeneous mixture;solubility;homogeneous;terms;solute;solvent;explain,5.0,augmented_point
519,11,Chemistry,Explain point 2 regarding Mixtures Chemistry.,Select mixture mixtures that the components can be separated by crystallization a Mixture of salt water b Mixture of ethanol and water c Mixture of acetic acid and water d Mixture of copper sulphate and water,water mixture;mixture;water;ethanol water mixture;ethanol water;crystallization mixture salt;crystallization mixture;copper sulphate water;components separated crystallization;crystallization;acetic acid;acetic,5.0,augmented_point
520,11,Chemistry,Explain point 3 regarding Mixtures Chemistry.,"What isare the compound compounds precipitated in manufacturing salt that dissolve in the atmospheric water vapour out of the following? compounds with deliquescent quality CaCO , CaSO , NaCl, MgCl 3 4 2",following compounds deliquescent;dissolve atmospheric water;dissolve atmospheric;deliquescent quality caco;deliquescent quality;deliquescent;compounds precipitated manufacturing;compounds precipitated;compounds deliquescent quality;compounds deliquescent;compound compounds precipitated;compound compounds,5.0,augmented_point
521,11,Chemistry,Explain point 5 regarding Mixtures Chemistry.,What are the qualities of existing and the second solvents when the mixture is separated from an existing solvent into a another solvent?,existing;solvent;solvent another solvent;solvent another;solvents mixture separated;solvents mixture;second solvents mixture;separated existing solvent;separated existing;second solvents;qualities existing second;qualities existing,5.0,augmented_point
522,11,Physics,State and explain the principles of Key concepts of Waves and their.,"You will observe that the plastic ball moves up and down perpendicular to the water surface. In order for the ball to move up and down, energy must be transmitted to the ball. Here, energy was transmitted to the ball through the water waves. An important property of waves is that they carry energy from one point to another. This energy transmission takes place in a manner that does not transmit the substance of the medium between the points concerned. For free distribution 72",ball;energy;transmitted ball;transmitted;waves;substance medium;energy transmission;energy one point;energy one;manner transmit substance;order ball move;order ball,10.0,augmented
523,11,Physics,State and explain the principles of Key concepts of Physics Waves and their Applications.,"In addition to waves that travel through various media, there are waves traveling without a material medium. Light is an example for a wave that travels without a medium. Although there are regions between the sun and the earth without any material medium, the earth receives light and heat from the sun. Light and heat from the sun arrive at the earth as electromagnetic waves and a material medium is not required for the propagation of electromagnetic waves. Radio waves too are a form of electromagnetic waves. Radio programs transmitted by a radio transmission station reach the radio set in your home through air. However, air is not required for radio transmissions. 4.1 Mechanical W",radio;waves;sun;material medium;medium;electromagnetic waves;electromagnetic;earth;material;waves radio;electromagnetic waves radio;without material,10.0,augmented
524,11,Physics,State and explain the principles of Key concepts of Slinky.,"We mentioned before that when we disturb a water surface after placing a floating object such as a plastic or rubber ball on the surface, the floating object moves up and down. From the up and down motion of the floating object we can understand that the force exerted on the object by the water particles is vertical. That means the water particles move up and down while the waves spread in a direction perpendicular to this. Therefore, the waves that travel on the water surface are transverse waves. 75 For free distribution",floating object;floating;object;water particles;waves;surface;water surface;water;particles;waves 75 free;waves 75;rubber ball surface,10.0,augmented
525,11,Physics,State and explain the principles of Key concepts of Knowledge.,The graph in Figure 4.11 shows how the displacement from the central position of each particle along the travel path of the wave varies with the distance from the source to each of the particles. displacement amplitude a one wave a crest t t t t t o 1 2 3 4 time,wave;displacement;wave varies;varies distance source;varies distance;particles displacement;distance source particles;distance source;wave varies distance;travel path;particle along travel;path wave varies,10.0,augmented
527,11,Chemistry,Describe the chemical process involved in Key concepts of Physics Waves and their Applications.,"a b c d e f Figure 4.23  Propagation of sound as longitudinal waves When the membrane moves to the left, a region of rarefactions is formed in the air layer adjacent to it as shown in Figure 4.23 c. When the membrane moves to the right again, another layer of compressed air is formed which too moves to the right as shown in Figure 4.23 d. For free distribution 88",figure 23;moves;shown figure 23;moves right;membrane moves;23;layer;membrane;right;air;formed;shown figure,10.0,augmented
529,11,Physics,State and explain the principles of Key concepts of Loudness.,"When the string is displaced further from the stationary position, the amplitude of the vibration becomes larger and the amplitude of the sound wave generated by the string also becomes large. This means that there is a relationship between the loudness of a sound and the amplitude of the corresponding sound wave. Therefore, loudness can also be considered as the characteristic of sound that varies according to the amplitude of a sound wave. Loudness increases with increasing amplitude. Loudness decreases with when the amplitude decreases. Figure 4.31 shows wave forms of two sound waves viewed using a cathode ray oscilloscope, one with a higher level of loudness and the other with a lower level of loudness. 93 For free distribution",loudness;amplitude;sound;sound wave;wave;level loudness;amplitude sound;amplitude sound wave;string;decreases;becomes;level,10.0,augmented
530,11,Biology,Describe the role of Key concepts of Physics Waves and their Applications in living organisms.,"This frequency range is known as hearing range of human ear. However, the high frequency limit audible to the human ear decreases gradually with age. Sounds of frequency below 20 Hz are called infra-sound and sounds of frequency above 20000 Hz are called ultrasound. Therefore, ultrasound waves are sound waves with frequencies above the hearing range of humans. While Rabbits, dolphins and bats can hear frequencies above 20,000 Hz ultrasound, elephants can hear frequencies below 20 Hz infra-sound. Dogs can hear sounds up to about 40,000 Hz. 95 For free distribution",hz;frequency;ultrasound;hear;frequencies;range;sounds;sounds frequency;infra sound;hz called;human ear;hear frequencies 20,10.0,augmented
531,11,Physics,State and explain the principles of Key concepts of D E.,"i When a ringing bell is held by hand, it stops ringing. ii The pitch of a flute when played while the holes are opened one by one becomes different from the pitch when all holes are closed. iii Although the lightning and thunder both happen at the same time, there is a delay between seeing the light and hearing the sound of thunder. For free distribution 102",ringing;thunder;pitch;holes;holes closed iii;time delay seeing;time delay;holes closed;lightning thunder happen;lightning thunder;opened one one;opened one,10.0,augmented
533,11,Chemistry,Describe the chemical process involved in Key concepts of Physics.,"Objects through which light does not pass at all are known as opaque objects eg: stones, bricks. Light passes through some materials with irregular changes of direction, making it impossible to see the objects on the other side clearly. Such materials are known as translucent materials eg: tissue paper, oil paper. A light ray is represented by a straight line with an arrow head marked on it. The arrow head is essential to indicate the direction of the light ray.",objects;light;arrow;arrow head;head;materials;eg;paper;light ray;ray;direction;paper oil paper,10.0,augmented
534,11,Chemistry,Describe the chemical process involved in Key concepts of M.,M A MN - plane mirror AB - incident ray B i X BC - reflected ray r BX - normal at the point incidence ABX - angle of incidence i CBX - angle of reflection r N C Figure 5.4  Reflection of a light ray from a plane mirror For free distribution 106,ray;plane mirror;incidence;plane;angle;reflection;mirror;point incidence;normal point;reflection figure;ray bc;ab incident,10.0,augmented
536,11,Chemistry,Describe the chemical process involved in Key concepts of P.,"Rays coming parallel to the principle axis towards a concave mirror pass through a point on the principal axis after reflecting from the mirror. If a screen is placed on that point so as to allow the reflected rays to fall on it, a small bright spot would be visible. This point marked as F in Figure 5.8 is known as the focus or the focal point of the mirror. 109 For free distribution",point;mirror;rays;axis;mirror 109;rays fall small;rays fall;principle axis;focus focal point;pass point principal;focus focal;principal axis reflecting,10.0,augmented
537,11,Chemistry,Describe the chemical process involved in Key concepts of Focal point.,The radius of curvature r is exactly twice the focal length f. 5.2.2 Reflection from a concave mirror i Rays coming along the principal axis of a concave mirror return along the principal axis after reflection.,along principal axis;along principal;principal axis;principal;concave mirror;concave;reflection;mirror;axis;along;radius curvature exactly;axis reflection,10.0,augmented
538,11,Chemistry,Describe the chemical process involved in Key concepts of Physics Geometrical Optics.,Figure 5.13 - Rays coming towards a concave mirror through the center of curvature v Rays making a certain angle of incidence w w i i t t h h t a h n e p e r q i u n a c l i p a a n l g a l x e i s o a f re r e r fl e e fl c e t c io te n d . b,fl;rays;te;figure 13;incidence;angle incidence;towards concave mirror;towards concave;center curvature;center;curvature;rays coming,10.0,augmented
539,11,Chemistry,Describe the chemical process involved in Key concepts of You will observe a very large image of your.,"Because the light rays coming from a far away object can be considered as parallel, the distance from the mirror to the image can be considered to be approximately equal to the focal length of the mirror. For free distribution 112",considered;mirror;mirror image;mirror free distribution;mirror free;approximately;light rays coming;112;focal length;light rays;far;rays coming,10.0,augmented
541,11,Chemistry,Describe the chemical process involved in Key concepts of Images formed by convex mirrors.,"Here too, the position of the image and its nature can be determined by tracing the paths of two rays coming from the top of the object after reflection just as was done with concave mirrors. For free distribution 118",object reflection done;paths two rays;position image nature;two rays coming;tracing paths two;tracing paths;paths two;position image;reflection done concave;reflection done;done concave mirrors;image nature determined,10.0,augmented
